State,SW cost,GW cost
Alabama,129.81,131.57
Alaska,61.33,38.79
Arizona,132.39,96.31
Arkansas,41.72,35.28
California,132.51,200.5
Colorado,29.83,47.94
Connecticut,68.29,69.54
Delaware,200,37.05
Florida,61.78,118.51
Georgia,41.63,94.14
Hawaii,449.56,129.17
Idaho,31.8,75.18
Illinois,112.58,32.9
Indiana,51.08,34.59
Iowa,72.19,31.9
Kansas,36.21,50.85
Kentucky,688.27,83.27
Louisiana,62.17,49.45
Maine,74.62,48.87
Maryland,326.21,30.93
Massachusetts,392.28,141.95
Michigan,60.79,48.87
Minnesota,8.85,32.6
Mississippi,31.42,44.41
Missouri,310.32,43.65
Montana,13.89,25.02
Nebraska,42.91,58.55
Nevada,28.1,79.23
New Hampshire,69.01,28.68
New Jersey,226.33,67.72
New Mexico,49.99,90.4
New York,99.01,91.75
North Carolina,47.36,93.81
North Dakota,29.94,26.88
Ohio,229.7,52.14
Oklahoma,7.47,70.63
Oregon,41.79,66.99
Pennsylvania,277.47,52.58
Rhode Island,819.17,35
South Carolina,42.71,97.7
South Dakota,22.58,28.67
Tennessee,132.06,45.49
Texas,46.84,97.34
Utah,26.72,60.19
Vermont,80,74.78
Virginia,30,42.95
Washington,71.35,61.01
West Virginia,95,61.94
Wisconsin,61.69,80.6
Wyoming,13.08,44.59